H2	The Café of Forever: Pyramid
B	The first thing this pyramid has to say to anyone dreaming of a room of their own concerns the order of design. A pyramid is architecture designed from the king's chamber outward. The place where the heart would lie was fixed first, and several million blocks were then stacked in the direction of that room. A shop is the same. Decide first what emotional room the customer is going to arrive at last, and then make the door and the passage and the seating all lead there. That every one of the twenty-one houses in this book was built in that order is something the last of them summarizes with its own body.
B	The nerve to accept waste is worth chewing over as well. The floor area lost to a leaning wall is written into the accounts as a loss, and into the customer's memory as the whole of the place. There was no clean opening for this pyramid either. For the first few months people called it magnificent, took photographs and got up after half an hour. It was only once the low seats under the walls and the round table went in that people began to stay. Grandeur brings people in; what keeps them is somewhere to sit. That tuition fee became this house's second foundation stone.
H3	Why a pyramid makes us better behaved
B	Go further in and you reach the long spell this shape casts. A pyramid is a mountain made by people. As a person is made humble in front of a mountain, in front of a mountain that people piled up we are made humble twice: once by the size of it, and once by the years in the hands that stacked it. And that humility is strangely comfortable. Being told you do not have to be the center of the universe is an unexpected holiday for anyone worn out from playing the lead in their own life every day. That is why the customers under these leaning walls all go gentle. The size of the stone takes over carrying the size of the heart for a while.
B	And this is the least collapsible shape humanity knows. Wide at the bottom and narrow at the top is the honest conclusion of stacking anything, which is why a child's blocks and a sandcastle both end up here. The reassurance inside a pyramid is the reassurance of that honesty. Nothing in here falls down. Nothing has, for several thousand years.
H3	A name laid from the bottom course up
B	Pyramid's history has been written in the evenings of a hill. People climb it every evening for the sunset walk that made it famous, and some of them push open the door of the pyramid for the first time. Couples who have cut cartouches have started printing two ovals side by side on their wedding invitations, and cutting a first cartouche for a baby's hundredth day has become a new custom in this city. On the day before a large decision, people now tell each other they are going up the hill. Everyone here knows which room of stone that means.
B	A great brand is like a pyramid. It is built by the width of the bottom course rather than the sharpness of the top, and what you see is the summit, while what holds the summit up is several million things underneath that nobody sees. And what has been stacked properly is still standing when the age has changed.
H3	What are we deferring today for?
B	Here is a last question worth asking under a sky of stone. What are we putting today off in order to leave behind? The kings spent the working years of whole nations trying to leave eternity. And look at what was left. The mummies decayed, the treasure was scattered, and what actually crossed the thousands of years turns out to be something else entirely: the graffiti the workmen left behind the walls, the ledgers recording their rations of bread and beer, the ordinary days of the nameless people buried beside the monument. What survived from architecture built for eternity was, in the end, the traces of a life being lived. Eternity was never the goal. It was the by-product.
B	A full life might be one that buys an afternoon rather than a forever. Take the good cup out today, call the face you want to see today, write today the line you keep deferring. Days spent carefully like that stack up among themselves, unasked, into a pyramid belonging to one person. The only thing the kings had wrong was the direction. Eternity is not piled upward. It is laid down one afternoon at a time.
H3	Closing the twenty-first door
B	Retrace the passage and the evening wind on the hill comes out to meet you. The western sky is red again today, and the shadow of the pyramid runs long down the slope. Twenty-one doors close here. We flew above the clouds and took the night train, we sat on the floor of an empty swimming pool, we walked a rainforest and a white wood, we sailed between stars, we sat in a yellow noon and on a snowfield in midsummer, we borrowed a cell in a beehive, we boarded a ship, we passed through an empty granary, and at last we spent an afternoon in the room of forever. And we found out that the best experience, the one we went looking for everywhere, was never inside eternity at all. It was always waiting for us this afternoon, behind one door, for the price of a cup of coffee. The place where the best experience is. We call it the best café.
